datasetId,category,mapper,rowsCompared,fieldsExpected,fieldsPredicted,fieldsCorrect,precision,recall,f1Score,f1Percentage,elapsedMs,status,errorMessage
agenpulsa_agustus_anonim,real_data,gemini,5,45,50,45,0.9,1.0,0.9474,94.7%,1465,OK,""
agenpulsa_agustus_anonim,real_data,ruleBased,5,45,40,36,0.9,0.8,0.8471,84.7%,36,OK,""
agenpulsa_september_anonim,real_data,gemini,14,126,140,126,0.9,1.0,0.9474,94.7%,1110,OK,""
agenpulsa_september_anonim,real_data,ruleBased,14,126,112,98,0.875,0.7778,0.8235,82.4%,10,OK,""
orderkuota_september_anonim,real_data,gemini,3,27,30,25,0.8333,0.9259,0.8772,87.7%,2472,OK,""
orderkuota_september_anonim,real_data,ruleBased,3,27,24,21,0.875,0.7778,0.8235,82.4%,3,OK,""
